"","time","month","Mslp","P5_f","P5_u","P5_v","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8th","P8zh","P500","P850","P_f","P_u","P_v","P_z","P_th","P_zh","R500","R850","Rhum","Shum","Temp","rainfall","clazz"
"1","1964-05-01",5,-0.375,-0.044,0.138,0.445,-0.658,78.99,-0.153,0.614,1.333,0.447,-0.425,72.03,-0.29,-0.572,-0.67,-0.992,0.334,0.437,-0.279,301.46,-0.437,2.074,1.053,-0.351,-0.282,-0.087,0.049,1
"2","1964-05-02",5,-0.059,-0.298,-0.045,0.134,-0.834,81.63,-0.153,-0.532,0.069,0.594,-0.787,20.59,-0.711,-0.046,0.108,-0.306,-0.146,0.687,0.154,296.5,-0.647,1.779,0.151,0.758,0.163,0.203,0.745,1
"3","1964-05-03",5,-0.219,-0.552,-0.274,0.445,-0.746,72.3,-0.605,0.041,0.196,1.111,0.144,19.46,-1.132,0.275,-0.014,-0.581,0.319,1.009,0.709,325.08,-1.157,2.092,-0.562,0.249,0.418,0.439,0.698,1
"4","1964-05-04",5,-0.428,-0.326,-0.228,1.532,-0.261,55.23,-1.51,0.368,0.512,1.259,0.092,30.39,-1.132,0.285,-0.197,-0.753,0.944,1.024,0.366,8,-1.007,1.359,-0.477,0.388,0.594,0.49,5.452,1
"5","1964-05-05",5,-0.509,-0.185,-0.045,1.222,0.135,65.03,-1.058,0.286,0.575,1.111,0.712,36.64,-1.132,0.1,-0.396,-0.703,0.315,0.738,1.008,316,-0.707,2.127,0.469,1.404,0.589,0.425,12.612,1
"6","1964-05-06",5,-0.391,-0.382,-0.137,0.445,-0.614,75.74,-0.605,-0.614,0.385,0.225,-0.27,60.19,-0.29,0.148,-0.197,-0.83,0.182,0.253,0.514,289.83,-0.047,2.358,0.331,0.919,0.359,0.333,3.752,1
"7","1964-05-07",5,-0.373,-0.495,-0.206,-0.176,0.091,87.51,-0.153,-0.368,0.385,0.594,0.247,40.7,-0.711,0.265,-0.105,-0.758,0.212,0.514,0.595,300.4,-0.467,1.708,-0.347,0.919,0.423,0.375,0.452,1
"8","1964-05-08",5,-0.323,-0.58,-0.274,-0.409,0.047,91.8,0.299,-0.287,0.322,0.742,0.092,31.68,-0.711,0.314,0.001,-0.723,0.353,0.83,0.779,319.57,-0.797,1.259,-0.167,0.896,0.537,0.433,0,-1
"9","1964-05-09",5,-0.469,-0.919,-0.549,-0.487,0.531,95.71,0.299,-0.041,0.638,0.668,-0.115,50.04,-0.711,0.314,-0.166,-0.86,1.066,0.861,-0.239,21.54,-1.007,0.621,-0.7,1.012,0.65,0.515,0.503,1
"10","1964-05-10",5,-0.785,-0.665,-0.343,-0.098,-0.041,84.98,0.299,0.614,1.144,0.89,-0.063,57.47,-0.711,0.343,-0.563,-0.779,1.298,0.779,0.141,41.47,-0.647,1.424,-0.863,0.665,0.69,0.54,2.497,1
